Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,12064117.18,488837.30,1107521.10,3615,0,4818,0,9999,0,655,0,40,0.7306098656819415,6720
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,11865574.63,234113.77,91750.00,2884,0,812,0,6030,0,1145,0,50,0.9545556781416182,9252
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,190505.99,2975.79,1700.00,62,0,62,0,200,0,21,0,4,0.8267066847861582,180
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,9901460.81,4512704.51,3896748.00,3261,0,865,0,8208,0,1067,0,26,0.9806462824236,11472
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,4833242.73,1279142.97,2580021.00,1011,0,463,0,2661,0,363,0,42,0.41007241274552525,9216
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1632370.29,566404.46,1584953.00,736,0,370,0,1928,0,315,0,10,0.9370351893877535,3180
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1400832.88,786241.10,269954.33,533,0,239,0,1368,0,239,0,25,0.918893958093648,2268
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,944055.47,702376.78,398149.63,566,0,427,0,1255,0,324,0,25,0.9712202047916801,2784
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1170616.61,349043.16,435498.12,412,0,212,0,1097,0,212,0,21,0.8924908833880707,1764
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,16500244.34,0.00,0,4232,0,1179,0,10538,0,1599,48,0.9884536202813128,17172
